date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2019-11-14,TQQQ_Full_35_20_45,TQQQ,28,covered_call,OPEN,call,-1.0,10.5,2019-12-20,90,9.2275,0.1532665271812308,0.14326652718123079,0.1632665271812308,0.14326652718123079,0.4676892909698348,0.21314386839950628,1289.398744631077,-148.50000000000009,148.50000000000009,GREED_EXHAUSTION_COVERED_CALL,,
2019-11-19,TQQQ_Full_35_20_45,TQQQ,28,covered_call,CLOSE,call,-1.0,10.5,2019-12-20,90,9.4887,0.15892255938119026,0.14892255938119026,0.16892255938119027,0.16892255938119027,0.43964329859558576,0.23700902355768316,-1520.3030344307126,-148.50000000000009,148.50000000000009,CALL_STATE_EXIT,,
2019-11-29,TQQQ_Full_35_20_45,TQQQ,29,covered_call,OPEN,call,-1.0,11.0,2020-01-17,87,9.7175,0.2727837262758337,0.2627837262758337,0.2827837262758337,0.2627837262758337,0.48886350584277755,0.2774627518366819,2286.218418599753,-143.55000000000007,143.55000000000007,GREED_EXHAUSTION_COVERED_CALL,,
2019-12-04,TQQQ_Full_35_20_45,TQQQ,29,covered_call,CLOSE,call,-1.0,11.0,2020-01-17,87,9.33,0.18131303331641324,0.17131303331641323,0.19131303331641325,0.19131303331641325,0.5186753870829325,0.20787976667486907,-1664.4233898527955,-143.55000000000007,143.55000000000007,CALL_STATE_EXIT,,
2020-01-02,TQQQ_Full_35_20_45,TQQQ,30,covered_call,OPEN,call,-1.0,13.0,2020-02-21,79,11.355,0.2787993798583508,0.2687993798583508,0.2887993798583508,0.2687993798583508,0.47734040759851365,0.2528897869870071,2123.515100880971,-130.35000000000008,130.35000000000008,GREED_EXHAUSTION_COVERED_CALL,,
2020-01-16,TQQQ_Full_35_20_45,TQQQ,30,covered_call,CLOSE,call,-1.0,13.0,2020-02-21,79,12.3038,0.4239205157397663,0.40908329768887447,0.43875773379065813,0.43875773379065813,0.4496522937849838,0.37896699332041794,-3466.186096946199,-168.56402260204547,168.56402260204547,CALL_STATE_EXIT,,
2020-01-24,TQQQ_Full_35_20_45,TQQQ,31,covered_call,OPEN,call,-1.0,14.0,2020-02-21,75,12.3538,0.19684133896195766,0.18684133896195765,0.20684133896195767,0.18684133896195765,0.5127822096672432,0.21145012196123003,1401.3100422146822,-123.75000000000007,123.75000000000007,GREED_EXHAUSTION_COVERED_CALL,,
2020-01-27,TQQQ_Full_35_20_45,TQQQ,31,covered_call,CLOSE,call,-1.0,14.0,2020-02-21,75,11.59,0.1095786801962304,0.09957868019623041,0.1195786801962304,0.1195786801962304,0.5950505498170787,0.129567574337365,-896.8401014717281,-123.74999999999997,123.74999999999997,CALL_STATE_EXIT,,
2020-01-28,TQQQ_Full_35_20_45,TQQQ,32,insurance,OPEN,put,1.0,10.5,2020-04-17,152,12.1288,0.7054687434025304,0.6807773373834418,0.730160149421619,0.730160149421619,0.658352069784032,-0.2633644373920543,-11098.434271208609,-474.1093714901466,474.1093714901466,RISK_WARNING_INSURANCE_ENTRY,,
2020-01-28,TQQQ_Full_35_20_45,TQQQ,32,insurance,OPEN,put,-1.0,8.0,2020-04-17,152,12.1288,0.2673452195624568,0.2573452195624568,0.27734521956245684,0.2573452195624568,0.8277742672648254,-0.10091579495751313,3911.6473373493436,-250.80000000000013,250.80000000000013,RISK_WARNING_INSURANCE_ENTRY,,
2020-02-10,TQQQ_Full_35_20_45,TQQQ,32,insurance,CLOSE,put,1.0,10.5,2020-04-17,152,13.86,0.4007186381361212,0.38669348580135693,0.41474379047088544,0.38669348580135693,0.7467354257509139,-0.14993783632441227,5877.740984180625,-311.9823154884167,311.9823154884167,INSURANCE_RECOVERY_EXIT,,
2020-02-10,TQQQ_Full_35_20_45,TQQQ,32,insurance,CLOSE,put,-1.0,8.0,2020-04-17,152,13.86,0.1332697057365484,0.1232697057365484,0.1432697057365484,0.1432697057365484,0.8948972165745079,-0.05128351955951249,-2177.6995271955357,-250.80000000000013,250.80000000000013,INSURANCE_RECOVERY_EXIT,,
2020-02-24,TQQQ_Full_35_20_45,TQQQ,33,insurance,OPEN,put,1.0,10.0,2020-05-15,130,11.96,0.9016705760038985,0.8701121058437621,0.933229046164035,0.933229046164035,0.8416076677242891,-0.2551372877168412,-12131.977600132455,-494.760112081774,494.760112081774,RISK_WARNING_INSURANCE_ENTRY,,
2020-02-24,TQQQ_Full_35_20_45,TQQQ,33,insurance,OPEN,put,-1.0,7.0,2020-05-15,130,11.96,0.353089119140064,0.34073099997016176,0.3654472383099663,0.34073099997016176,1.095784480124242,-0.09637367693478671,4429.502999612103,-245.15554920872938,245.15554920872938,RISK_WARNING_INSURANCE_ENTRY,,
2020-02-27,TQQQ_Full_35_20_45,TQQQ,33,insurance,CLOSE,put,1.0,10.0,2020-05-15,33,9.4775,1.797372173170178,1.7344641471092217,1.8602801992311342,1.7344641471092217,0.8648256359685833,-0.4705690065539624,5723.731685460431,-229.04648600115559,229.04648600115559,INSURANCE_PARTIAL_MONETIZATION,,
2020-02-27,TQQQ_Full_35_20_45,TQQQ,33,insurance,CLOSE,put,-1.0,7.0,2020-05-15,33,9.4775,0.8103274943032834,0.7819660320026686,0.8386889566038983,0.8386889566038983,1.2039349231928773,-0.20366705377613514,-2767.673556792864,-115.04282559202908,115.04282559202908,INSURANCE_PARTIAL_MONETIZATION,,
